crc32,name,filename,size,type,load_type,status,notes
21A22390,1000 Bornes,1000 Bornes (1985) (Free Game Blot).k7,20114,k7,LOAD,boots,Screen differs from BASIC prompt (auto-tested)
956E8360,3-D USS,3-D USS (198x) (PD).k7,3263,k7,LOAD,nothing,Timeout — emulator hung
B252051A,3D Sub,3D Sub (1985) (Loriciels).k7,48209,k7,LOAD,boots,Screen differs from BASIC prompt (auto-tested)
670DBF73,3D-Dimensions,3D-Dimensions (1983) (PD).k7,4258,k7,LOAD,nothing,Timeout — emulator hung
DA89A78C,"5eme Axe, Le","5eme Axe, Le (1985) (Loriciels) [b1].k7",54965,k7,unknown,nothing,Timeout — emulator hung
C33E0138,"5eme Axe, Le","5eme Axe, Le (1985) (Loriciels) [b2].k7",52998,k7,unknown,boots,Screen differs from BASIC prompt (auto-tested)
77BE59BE,6809 Language Module v1.0,6809 Language Module v1.0 (1984) (Microsoft) (Cart).mo5,16384,cartridge,cartridge,boots,Cartridge boots (auto-tested)
1D047DDF,"7 Magiciens, Les","7 Magiciens, Les (1984) (To Tek) (M5).k7",17281,k7,LOAD,boots,Screen differs from BASIC prompt (auto-tested)
FE3E42B8,A Demi Mot,A Demi Mot (1985) (Nathan Ecoles).k7,25082,k7,LOAD,boots,Screen differs from BASIC prompt (auto-tested)
4151BFFF,Addresses Ninaires K7,Addresses Ninaires K7 (198x) (Deplombsoft) (PD).k7,2650,k7,LOAD,boots,Screen differs from BASIC prompt (auto-tested)
E10868F3,Adrbindk,Adrbindk (198x) (PD).k7,1353,k7,LOAD,not_tested,
7F2FAF8A,Adrdsk,Adrdsk (1985) (PD) [b1].k7,975,k7,LOAD,not_tested,
CCB21BC1,Adrto7,Adrto7 (1985) (PD).k7,2173,k7,LOAD,not_tested,
E9A2E04D,"Affaire en Or, Une","Affaire en Or, Une (198x) (Free Game Blot).k7",20893,k7,LOAD,not_tested,
B6571254,"Affaire Vera Cruz, L'","Affaire Vera Cruz, L' (198x) (Infogrames) [b1].k7",47102,k7,unknown,not_tested,
63DE1C17,Affine,Affine (1984) (USTL).k7,11696,k7,LOAD,not_tested,
815D8811,"Aigle d'or, L'","Aigle d'or, L' (1985) (Loriciels) [b1].k7",42943,k7,LOAD,not_tested,
081BD8C9,"Aigle d'or, L'","Aigle d'or, L' (1985) (Loriciels).k7",40931,k7,LOAD,not_tested,
721E741C,Air Attack,Air Attack (1985) (Microids).k7,51108,k7,LOAD,not_tested,
04A61AA5,Aire,Aire (1985) (Nathan Ecoles).k7,18670,k7,LOAD,not_tested,
27297D31,Allemand,Allemand (Sich Vorstellen) (1985) (FIL) [a1].k7,33915,k7,LOAD,not_tested,
